city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami Gardens,12,33056,2024-03-02T16:03:03.473Z,10,2401,4531,,,25.929355,170th,,4c6b6f450deedaf516d7faba94396f5d,FL,NW,2024-02-29T08:00:00.000Z,https://www.zillow.com/homes/62936341_zpid/,2401 NW 170th St Miami Gardens FL 33056,"[-80.240806, 25.929355]",62936341,,-80.240806,425500,2024-02-27T08:00:00.000Z,426559,10,,St,3274,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/4c6b6f450deedaf516d7faba94396f5d
North Miami,13,33167,2024-03-06T12:52:58.237Z,10,13325,1624,,,25.896036,17th,,3ee472e77c3198cacceb0a424f217a07,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43972756_zpid/,13325 NW 17th Ave North Miami FL 33167,"[-80.227287, 25.896036]",43972756,,-80.227287,433000,2024-02-29T08:00:00.000Z,435800,9,,Ave,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/3ee472e77c3198cacceb0a424f217a07
Miami,14,33168,2024-03-06T13:05:25.872Z,11,1121,6849,,,25.90476,142nd,,8ad020dc14cbb20375ecef561b85cc07,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44114467_zpid/,1121 NW 142nd St Miami FL 33168,"[-80.218254, 25.90476]",44114467,,-80.218254,375600,2024-01-23T08:00:00.000Z,373200,12,,St,3200,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/8ad020dc14cbb20375ecef561b85cc07
Miami Gardens,10,33056,2024-03-06T20:11:14.654Z,8,2445,4535,,,25.930036,170th,,d1960de85aed7e26a3b3224c1d845d6c,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62936338_zpid/,2445 NW 170th Ter Miami Gardens FL 33056,"[-80.241882, 25.930036]",62936338,,-80.241882,415200,2024-02-29T08:00:00.000Z,414200,13,,Ter,3274,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/d1960de85aed7e26a3b3224c1d845d6c
Miami Gardens,9,33056,2024-03-06T19:19:43.655Z,8,17230,4611,,,25.931823,24th,,cf1ece3d4535917ae0e942d75a318b67,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62936373_zpid/,17230 NW 24th Ave Miami Gardens FL 33056,"[-80.241081, 25.931823]",62936373,,-80.241081,438600,2024-02-20T08:00:00.000Z,439300,11,,Ave,3614,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/cf1ece3d4535917ae0e942d75a318b67
Miami,11,33167,2024-03-06T13:10:47.190Z,9,12771,1832,,,25.891151,Westview,,511498131a577c72e5c89fc1a5637928,FL,,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44118194_zpid/,12771 Westview Dr Miami FL 33167,"[-80.241561, 25.891151]",44118194,,-80.241561,412100,2024-02-29T08:00:00.000Z,413700,11,,Dr,3200,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/511498131a577c72e5c89fc1a5637928
Miami Gardens,9,33054,2024-03-06T13:21:42.027Z,7,15410,2436,,,25.914411,32nd,,7818cbbfba6e49704b458b9810111f5c,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44113703_zpid/,15410 NW 32nd Ct Miami Gardens FL 33054,"[-80.253211, 25.914411]",44113703,,-80.253211,407300,2024-02-29T08:00:00.000Z,406600,10,,Ct,3099,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/7818cbbfba6e49704b458b9810111f5c
Miami,12,33147,2024-03-06T14:23:08.564Z,9,9745,2511,,,25.864126,20th,,8fa29e0a9722a2c341c01cf3efeb812a,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44152032_zpid/,9745 NW 20th Ave Miami FL 33147,"[-80.230895, 25.864126]",44152032,,-80.230895,377900,2024-02-27T08:00:00.000Z,376100,7,,Ave,2999,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/8fa29e0a9722a2c341c01cf3efeb812a
Miami Gardens,9,33054,2024-03-06T13:34:59.086Z,7,15310,2515,,,25.913497,31st,,ef61def7789bde49f2d255e55b9ae3fc,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44112792_zpid/,15310 NW 31st Ave Miami Gardens FL 33054,"[-80.251358, 25.913497]",44112792,,-80.251358,416000,2024-02-27T08:00:00.000Z,416100,9,,Ave,3300,8,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/ef61def7789bde49f2d255e55b9ae3fc
North Miami Beach,12,33162,2024-03-06T13:32:23.453Z,10,1490,5903,,,25.915334,152nd,,f7043852be8635926d9eb6095e206fa6,FL,NE,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43993403_zpid/,1490 NE 152nd St North Miami Beach FL 33162,"[-80.169776, 25.915334]",43993403,,-80.169776,356400,2024-02-29T08:00:00.000Z,349300,11,,St,2650,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f7043852be8635926d9eb6095e206fa6
Miami Gardens,10,33054,2024-03-06T13:31:02.737Z,8,2841,2638,,,25.912441,151st,,18e27d4d099695b41d6b2dc56cdba182,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44112911_zpid/,2841 NW 151st Ter Miami Gardens FL 33054,"[-80.246841, 25.912441]",44112911,,-80.246841,397700,2024-02-29T08:00:00.000Z,396600,10,,Ter,2999,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/18e27d4d099695b41d6b2dc56cdba182
